"nome","resumo","coordenador"
"A ESCOLA E O PARQUE ESTADUAL DA PEDRA BRANCA (RJ): UM PROGRAMA DE EDUCAÇÃO AMBIENTAL PARA COMUNIDADES","O projeto ""a escola e o parque estadual da pedra branca um programa de educação ambiental para comunidades"" vem sendo desenvolvido há cinco anos e tem por objetivo desenvolver junto aos professores e alunos do ensino fundamental práticas pedagógicas participativas em educação ambiental utilizando o princípio do meio ambiente como uma das leituras do mundo e ligação com a realidade local sendo esta representada pelos recursos naturais e remanescentes florestais do parque estadual da pedra branca maior unidade de conservação da cidade do rio de janeiro. Já forma capacitados um total de 70 professores e cerca de 3000 alunos da quarta e quinta séries do ensino fundamental de escolas públicas e particulares. A ideia é formar uma rede de conhecimento e atuação na conservação ambiental da área protegida e seu entorno próximo num processo de gestão participativa e integração entre as comunidades do entorno e administração do parque.","Nadja Maria Castilho Da Costa"
"AVALIAÇÃO DA QUALIDADE AMBIENTAL DO LITORAL DO RIO DE JANEIRO","O estado do rio de janeiro é um estado eminentemente marítimo e de economia azul. Desta forma a sua dependência com o litoral é marcante. A população fluminense apesar da relação estreita que tem com a zona costeira não percebe a importância da manutenção do ambiente marinho para que sua qualidade de vida e segurança sejam preservados e garantidos. Para ser ter um bom relacionamento com a zona costeira em função dos diversos cenários existentes é preciso que a sociedade entenda como funciona a dinâmica litorânea do estado e as características dos seus inúmeros ecossistemas. O projeto pretende fornecer informações básicas sobre as principais demandas e duvidas sociais além de oferecer alternativas de solução. Serão abordados temas sobre a utilização dos recursos marinhos costeiros o desenvolvimento sustentável do litoral a economia azul fluminense e assuntos oportunos que possam interessar informar e promover a formação de uma opinião pública consciente. Propostas de ações e estratégias que possam promover o desenvolvimento do litoral fluminense também serão oferecidos visando orientar a participação social de forma ordenada e objetiva. Através da avaliação das condições ambientais ao longo do litoral fluminense será possível vislumbrar os principais problemas ambientais e demandas sociais de modo a propor indicativos para soluções técnicas e científicas mais apropriadas. Essas indicações serão então desdobradas em conteúdos educativos de modo a esclarecer os diversos segmentos sociais preparando-os para um debate na procura das soluções mais adequadas e exequíveis. A democratização do conhecimento e das possíveis propostas será o caminho mais curto para as soluções de consenso.","David Man Wai Zee"
"CAPACITAÇÃO DA COMUNIDADE LOCAL SOBRE O MEIO AMBIENTE","O projeto visa promover eventos relacionados ao meio ambiente e ao desenvolvimento sustentável além de oferecer cursos de formação continuada para a comunidade regional com foco na implementação da agenda 2030. Inclui a participação no promea resende que busca integrar ações de educação ambiental crítica e sensibilização ambiental fortalecendo a cidadania e o engajamento comunitário. A promoção de eventos inclui fóruns conferências e workshops sobre meio ambiente e desenvolvimento sustentável abordando gestão de recursos naturais conservação e sustentabilidade. Os cursos de formação continuada visam capacitar a comunidade sobre práticas sustentáveis e boas práticas para o alcance dos ods alinhados com a educação ambiental crítica. A participação no promea resende fortalece a cidadania e a sensibilização ambiental promovendo a conscientização sobre a participação ativa da comunidade nos processos de tomada de decisão ambiental. Os benefícios esperados incluem o aumento da conscientização ambiental e cidadã incentivando práticas sustentáveis e desenvolvimento de competências para implementar projetos ambientais locais. O engajamento comunitário nos ods promove a colaboração entre diferentes setores da sociedade para alcançar os objetivos da agenda 2030. O projeto se insere na área de extensão universitária conforme a política nacional de extensão universitária que promove a interação entre universidade e comunidade visando o desenvolvimento social e ambiental sustentável.","Elaine Ferreira Torres"
"INSTITUTO VIRTUAL DE PALEONTOLOGIA","O instituto virtual de paleontologia (ivp) é um projeto de extensão vinculado à faculdade de geologia (fgel) da universidade do estado do rio de janeiro (uerj) que visa a promoção e divulgação do conhecimento científico para as comunidades universitárias e não-universitárias do estado do rio de janeiro. Neste ano o projeto visará também a realização de atividades de divulgação científica voltadas para as áreas de geologia paleontologia e arqueologia em estados do nordeste do brasil especialmente para as comunidades que vivem no entorno dos sítios paleontológicos que tem sido escavados por membros da equipe do ivp. As atividades a serem desenvolvidas no âmbito do ivp em 2024 incluirão aulas palestras minicursos excursões e eventos científicos relacionados às geociências. Entre os resultados esperados neste projeto estão: (i) a ampliação do conhecimento geocientífico por parte dos membros envolvidos na execução do projeto; (ii) a ampliação das atividades de divulgação científica e do público-alvo atingido; e (iii) a promoção do conhecimento paleontológico nos diferentes níveis de ensino. Além disso por seu caráter virtual incluirá eventos cursos e palestras com a participação dos docentes e alunos da uerj e de outras ies do brasil e do exterior.","Herminio Ismael De Araujo Junior"
"A OBSERVAÇÃO DAS AVES COMO ATIVIDADE MOTIVADORA PARA O ENSINO E A APRENDIZAGEM NAS ÁREAS DE CIÊNCIAS E BIOLOGIA.","As aves são animais que chamam a atenção pelas cores cantos comportamentos facilmente observáveis alto grau de biofilia e pela sua presença no cotidiano da maioria das pessoas. Além disso pelo fato de muitas espécies serem diurnas estes animais são considerados bons modelos para estudos de comportamento e ecologia. Um simples passeio por ruas praças e jardins pode revelar a presença de muitas e interessantes espécies de aves nativas e exóticas. O hábito de observar aves é muito difundido no exterior e vem crescendo muito no brasil. A maior parte dos observadores de aves se organiza em grupos ou clubes de observadores de aves denominados coas. A prática da observação de aves é um excelente exercício educacional que pode proporcionar aos seus praticantes recompensas intelectuais recreativas e científicas. Este projeto busca através de oficinas exposições palestras produção e uso de materiais educativos produções bibliográficas produção de vídeos produção de podcasts e de outros conteúdos digitais para redes sociais divulgar a diversidade e a biologia das aves brasileiras estimular o interesse pelo seu conhecimento e usar as aves como modelos para desenvolver a curiosidade e o interesse por ciências e biologia além da ampliação da percepção ambiental e da divulgação científica. Além disso é comprovado que a observação de aves tem efeitos benéficos no combate ao stress e outros males como depressão ansiedade e pressão alta assim como tem sido um importante impulsionador do segmento do turismo de natureza promovendo não só benefícios para a saúde mental mas também a inclusão social principalmente em comunidades rurais por meio do turismo de base comunitária.","Ricardo Tadeu Santori"
"PARQUES DE PAPEL E O PAPEL SOCIAL DOS PARQUES. O CASO DO PARQUE ESTADUAL DA SERRA DA TIRIRICA","O presente trabalho visa a integrar alunos de escolas públicas e privadas e comunidades ao parque estadual da serra da tiririca (niterói/maricá – rj) e outros através de atividades de interpretação da natureza em trilhas e de educação ambiental (ea) na escola e comunidade. A hipótese a ser verificada é a mudança de percepção promovendo a inserção do indivíduo no ambiente com o intuito de fomentar uma visão mais crítica. Pretende-se identificar indicadores desta mudança de percepção e gerar produtos (como cartilhas ou exposições) que possibilitem a divulgação do parque a difusão da ea e a valorização das pesquisas e descobertas dos alunos e comunitários. A base metodológica é a pesquisa qualitativa e a abordagem foi através da pesquisa-ação. Em atividades já realizadas na escola estadual paulo assis ribeiro verificou-se que os alunos apresentaram conhecimento superficial dos conceitos de meio ambiente natureza ea unidade de conservação e parque natural abordados em questionário diagnóstico. Nenhum aluno havia visitado o parque e apenas 4 dos 28 alunos sabiam da sua existência. Além de aumentar o conhecimento este projeto cria um vínculo afetivo com o parque os quais podem desencadear uma participação mais ativa nas questões ambientais assim como gerar agentes multiplicadores que minimizem os impactos negativos sobre a uc. Além disso aponta-se a necessidade de ampliação das atividades as comunidades adjacentes especialmente as tradicionais. Espera-se contribuir para a elaboração de diretrizes para atividades de educação ambiental em parques.","Douglas De Souza Pimentel"
"PROJETO COGERE: CONSUMO SUSTENTÁVEL E GERENCIAMENTO DE RESÍDUOS","O projeto cogere criado em 2007 tem o foco no consumo sustentável e no gerenciamento de resíduos tendo como missão produzir e divulgar metodologias tecnologias e conteúdos sobre esses temas ao público interno e externo à uerj. Ele está alinhado com o ods 12 (produção e consumo sustentáveis) entre outros ods correlacionados da agenda 2030. é vinculado ao departamento de eng. Sanitária e do meio ambiente (desma) da faculdade de engenharia e conta com a participação de colaboradores (docentes técnicos e discentes) com diversas formações. Assim busca-se integrar ações interdisciplinares de ensino e pesquisa oriundas dos cursos de graduação e pós-graduação em engª. Ambiental da uerj às atividades de extensão do projeto divulgadas em artigos eventos e mídias sociais acessíveis pelo site www.Cogere.Uerj.Br. Para fortalecer as ações foram firmadas parcerias internas e externas: i) prefeitura dos campi no gerenciamento de resíduos; ii) hupe na aplicação do sistema de gerenciamento de resíduos de saúde; iii) programa “agenda 2030 na uerj; iv) projeto “lixo zero” em escolas; v) ong rio ecopets; vi) cefet/maracanã (troca de experiências em sustentabilidade ambiental em universidades). Espera-se que as atividades interdisciplinares e indissociáveis entre ensino pesquisa e extensão realizadas pela equipe contribuam com o público externo e interno à uerj bem como de seus gestores para a tomada de consciência sobre os impactos ambientais que um mal manejo de resíduos provoca e como ele pode ser mais bem equacionado por meio de uma gestão adequada e de estratégias de consumo mais sustentáveis. No contexto da uerj recomenda-se a formação de um grupo interdisciplinar para formular uma política institucional de sustentabilidade ambiental a fim de dar continuidade às intervenções existentes nos diferentes campi e para o planejamento de ações futuras internas e externas nos diferentes campi rumo a uma uerj mais sustentável.","Elmo Rodrigues Da Silva"
"PRODIV-PROJETO DE DIVULGACAO DA OCEANOGRAFIA-DESBRAVANDO O MAR DESCOBRINDO CIDADANIA!","O prodiv iniciou em 1988 visando tornar a ciência o curso de oceanografia da uerj e o profissional oceanógrafo conhecido bem como difundir a importância da preservação do meio ambiente marinho. Desde sua criação inúmeras apresentações foram realizadas em instituições de ensino feiras de ciência e de profissão feira da providência semana marinha do projeto grael colônia de férias iefd-uerj semana de meio ambiente da br marinas (marina da glória) evento ods14. Em sua constante evolução o prodiv desenvolveu metodologia de eventos que propiciassem visibilidade interna e externa desenvolvimento do público alvo (alunos da oceanografia e alunos de colégios de ensino médio) no conhecimento dos oceanos do curso da ciência e do profissional oceanógrafo. Foram instituídos: trote ecológico suspenso desde a pandemia de covid19; a visita dos calouros ao ceads-ilha grande também suspensa desde a pandemia; a aula inaugural; a palestra de ex-alunos da oceanografia-uerj. Em 2005 conduziu com excelentes resultados a 1ª olimpíada nacional de oceanografia (o.N.O) no estado do rio de janeiro. Em 2009 o painel do projeto na xxi semana nacional de oceanografia foi agraciado com o prêmio de terceiro melhor painel da mostra sendo dos três o único de extensão universitária. Em 2010 foi criado o programa de mentalidade marítima da uerj (programar) no qual o prodiv foi inserido e atualizou-se acervo digital do projeto. Em 2015 a bolsista representante do prodiv foi premiada com uma menção honrosa no vi prêmio de extensão maria theresinha do prado valladares. Em 2020 as atividades foram adequadas à realidade da pandemia (eventos on line) o trote ecológico suspenso bem como a ida dos calouros ao ceads-ilha grande. Em 2022 retomamos parte das atividades presenciais (aula inaugural e ciclo de plestrea de ex-alunos - com gravação e postagem no youtube; palestras em colégios participação em feiras e eventos).","Vanessa De Magalhaes Ferreira"
"PRAIA LIMPA É A MINHA PRAIA","O problema da poluição do oceano tem caráter mundial e vem exigindo ações preventivas e corretivas para situá-lo em níveis aceitáveis compatíveis com a preservação da qualidade de vida marinha e humana. Dentro da concepção de preservamos aquilo que conhecemos o projeto praia limpa é a minha praia trabalha a cultura oceânica através de atividades de educação ambiental buscando municiar a população fluminense de conhecimento sobre a importância deste ambiente de modo a sensibilizar e provocar nesta uma mudança de comportamento individual e coletiva que promova ações visando a preservação do oceano","Fabio Vieira De Araujo"
"POPULAÇÕES TRADICIONAIS E O PARQUE ESTADUAL DA SERRA DA TIRIRICA: CONSTRUINDO AS PONTES PARA A GESTÃO AMBIENTAL E CULTURAL DE ÁREAS PROTEGIDAS","O parque estadual da serra da tiririca (peset) criado em 1991 e a resex itaipu criada em 2013 podem ser considerados um verdadeiro laboratório para a verificação dos fenômenos sociais históricos e biológicos relacionados à interdisciplinaridade dos estudos de conservação. Suas propostas de criação resultaram da mobilização de entidades da sociedade civil organizada. No entanto como em várias unidades de conservação possuem uma situação fundiária complexa que representa um grande passivo. Nesse nicho histórico e social o peset e a resex abraçam os atributos para a intersecção entre esses dois pontos de vista pois se travam estudos de campo em uma região geográfica que necessariamente abarcam o diálogo com as ciências naturais na tentativa de compreender as relações históricas das pessoas com os recursos ambientais locais. No olhar da geografia a visão regional também é importante para a descrição dos processos socioambientais pois abarca a história da construção de uma identidade resultante da interação das esferas territoriais institucionais e simbólicas das uc. O objetivo do presente projeto é registrar o depoimento de membros das comunidades tradicionais do peset e da resex. A pesquisa qualitativa é a base metodológica para o presente estudo da qual vão partir outros focos de análise subjetiva percepção ambiental análise de conteúdo e teoria das representações sociais. Espera-se construir um corpus documental e um registro áudio-visual de aspectos culturais das uc centrado nos depoimentos de membros das populações tradicionais buscando nos discursos dos atores envolvidos pontos de congruência que possam dirimir os conflitos entre a gestão do parque e essas comunidades.","Douglas De Souza Pimentel"
"PROGRAMA ELOS DE CIDADANIA: EDUCAÇÃO AMBIENTAL PARA A GESTÃO PARTICIPATIVA E INTEGRADA DE ÁGUAS E FLORESTAS DA MATA ATLÂNTICA","O programa elos de cidadania propõe o debate da temática socioambiental estimulando o diálogo das instituições escolares com as comunidades de seu entorno e buscando soluções coletivas para as principais vulnerabilidades socioambientais identificadas a partir de um processo diagnóstico realizado pelos atores sociais envolvidos com a questão. Nesta edição o desenvolveremos ações em educação ambiental & saúde através de atividades de educomunicação instrumentalizando os discentes a utilizarem esta ferramenta para divulgação de conhecimento tecnológico e científico. O projeto abrange as localidades de angra dos reis belford roxo bom jesus do itabapoana campo grande duque de caxias itaperuna itaguaí itaocara macaé magé maracanã nova friburgo nova iguaçu paracambi petrópolis piraí resende rocinha são fidélis são francisco de itabapoana são pedro da aldeia três rios e volta redonda e envolve alunos dos cursos de ciências biológicas e pedagogia da uerj ofertados através do consórcio cederj. Material de divulgação será disponibilizado para participação voluntária de alunos de ciências biológicas e de pedagogia do consórcio.","Marcelo Aguiar Costa Lima"
"PROJETO PROMONTAR - PROGRAMA DE MONITORAMENTO DE OCORRÊNCIAS DE TARTARUGAS MARINHAS DA COSTA VERDE RJ","A educação ambiental com utilização de atividades lúdicas além de ser um grande simplificador do conhecimento torna a obtenção do conhecimento um processo agradável e atraente. Os organismos biomonitores de poluição entre eles as tartarugas marinhas são muito importantes para os ecossistemas marinhos qualquer tipo de alteração na fisiologia ou no comportamento do animal é um alerta de alteração no ambiente. A utilização de organismos marinhos carismáticos auxilia para que os conteúdos dos impactos antrópicos sejam assimilados com simpatia. O presente projeto de extensão tem como objetivo principal o desenvolvimento de atividades de educação ambiental que sensibilizem a sociedade sobre conservação e preservação do ambiente marinho; utilizando as tartarugas marinhas para abordar temas como os perigos as consequências e os efeitos da poluição dos oceanos na saúde humana. Utilizaremos jogos didáticos histórias em quadrinhos jogos de memória e de perguntas e respostas para introduzir os conceitos de biomonitor de poluição bioindicador de alteração fisiológica cadeia alimentar fisiologia de patologias causadas por microorganismos reações alérgicas de contato cuidados com poluentes químicos cuidados com seres vivos afetados por poluição química e outros. O público externo participante é composto por estudantes de diversos ciclos e moradores da cidade do rio de janeiro trabalhadores de setores de serviços e do comércio em momentos de lazer com as famílias ou intervalos de jornada de trabalho.","Gisele Lobo Hajdu"
"ASSESSORIA TÉCNICA DA UERJ À SOCIEDADE E ENTIDADES COM RELAÇÃO A ATUAÇÕES NA ÁREA DE MEIO AMBIENTE DO ESTADO DO RIO DE JANEIRO","Assessoria técnica da uerj à sociedade e entidades com relação a atuações na área de meio ambiente do estado do rio de janeiro incluindo as seguintes atividades: - procedimentos para a realização de possíveis convênios ou instrumento jurídico de parceria entre a uerj e entidades da sociedade civil. - avaliação de relatórios técnicos existentes; - elaboração de laudos técnicos. - participação em reuniões e audiências públicas; - realização de palestras técnicas sobre as ações com sustentabilidade ambiental para a recuperação de ecossistemas naturais no estado do rio de janeiro em prol da saúde e bem-estar da população; - participação em eventos técnicos no estado para dar conhecimento e debater junto à população as soluções com sustentabilidade ambiental para a recuperação de ecossistemas naturais no estado do rio de janeiro; - entrevistas na mídia sobre temas relacionados à área de meio ambiente e saneamento com vistas à preservação ambiental e melhoria da saúde da população.","Adacto Benedicto Ottoni"
"ASSESSORIA TÉCNICA AO MINISTÉRIO PÚBLICO VISANDO A RECUPERAÇÃO AMBIENTAL DOS ECOSSISTEMAS NATURAIS DO ESTADO DO","Assessoria técnica da uerj ao ministério público federal (mpf) e ministério público do estado do rio de janeiro (mprj) visando a recuperação ambiental dos ecossistemas naturais do estado do rio de janeiro com as seguintes atividades: • avaliação de relatórios técnicos existentes elaborados pelos órgãos responsáveis pelo saneamento e pelo controle ambiental dentro do estado do rio de janeiro; • elaboração de laudos técnicos por solicitação do ministério público; • participação em reuniões públicas e audiências públicas assessorando tecnicamente o ministério público; • realização de palestras técnicas sobre as ações com sustentabilidade ambiental para e recuperação dos ecossistemas naturais do estado do rio de janeiro em função das demandas do ministério público; • participação em eventos técnicos na região para dar conhecimento e debater junto à população local sobre os riscos da contaminação ambiental e discussão sobre as ações e intervenções para a recuperação com sustentabilidade ambiental dos rios lagoas e praias da região do estado do rio de janeiro onde o ministério público atua.","Adacto Benedicto Ottoni"
"VENDENDO NOSSO PEIXE - ATIVIDADES DE DIVULGAÇÃO CIENTÍFICA E REFLEXÃO SOBRE O MEIO EM QUE VIVEMOS","Sempre que encontramos pessoas quando estamos dentro dos rios realizando nossas atividades de coleta de peixes para pesquisa notamos a curiosidade do público sobre peixes e rios. Assim em 2010 surgiu o nosso projeto de extensão visando levar informações sobre estes temas para qualquer tipo de público que nos dê oportunidade de conversar. Em todos estes anos temos tido acesso a múltiplos segmentos da população com graus diferenciados de conhecimento e de interesse pela situação e pela resolução dos problemas. Assim buscamos estar sempre diversificando nossa linguagem e buscando propostas para novos modos de divulgação destes temas e dos resultados de pesquisa. Dialogamos com a população a partir de diversas estratégias: 1. Feiras de ciência oficinas e exibições em espaços formais informais e não formais de ensino usando exemplares fixados e modelos de organismos aquáticos com ênfase em peixes para: a. Demonstração da variedade de formas de peixes; b. Dar noções de morfologia e fisiologia dos animais; c. Demonstrar interações ecológicas em ambientes aquáticos e o que alterações ambientais podem provocar de mudança nestas interações; d. Estimular nos professores a criação de modelos didáticos para trabalhos lúdicos. 2. Cultivo de peixes em aquários para acompanhamento das fases de desenvolvimento ontogenético e a observação de comportamento alimentar e reprodutivo por ex.; 3. Para o município de são gonçalo temos uma cartilha em pdf sobre “os peixes de água doce” que podem ser disponibilizadas para o trabalho de professores. Esperamos estimulando o conhecimento estimular também a necessidade de interferir com atitudes individuais e coletivas que melhorem as condições do meio ambiente local sobretudo da água doce.","Rosana Souza Lima"
"APRESENTANDO A MARICULTURA PARA JOVENS: DESPERTANDO VOCAÇÕES PARA O EMPREENDEDORISMO ATRAVÉS DE ABORDAGENS EDUCACIONAIS INOVADORAS.","A maricultura é uma atividade importante para o litoral sul fluminense econômica e socialmente. Economicamente torna o rio de janeiro terceiro produtor nacional de moluscos bivalvos; primeiro na produção de vieiras e polo de desenvolvimento na piscicultura marinha com o bijupirá. Socialmente reincluindo pescadores de comunidades caiçaras prejudicados pelo declínio da pesca e especulação imobiliária. Nas fazendas marinhas fluminenses são cultivados: vieiras mexilhões e ostras; a alga para extração de carragenana e recentemente o bijupirá. No entanto trabalhos de caracterização sócio-econômica da maricultura na região tem revelado que a atividade não tem sido atrativa aos jovens. No início da atividade na década de 90 a idade média do maricultor era 55 anos e a maricultura era desenvolvida completamente em sistema familiar. Trabalhos recentes mostraram que o perfil do maricultor em média não mudou: indivíduo masculino idade 47 anos com escolaridade fundamental/médio completos com filhos. Porém a participação dos filhos na atividade continua sendo baixa e quando atingem a juventude se direcionam à outras atividades profissionais. O presente trabalho visa despertar o interesse dos jovens para a maricultura munindo-os de informações sobre os organismos cultivados e suas relações ecológicas com a biota técnicas e estruturas de cultivo conflitos com outras atividades desenvolvidas no ambiente marinho. A maricultura será incluída no conteúdo programático da disciplina biologia no ensino médio com conteúdos pertinentes apresentados na forma de vídeos e palestras. Tais informações serão exercitadas de forma dinâmica e lúdica através de jogos didáticos. Toda a atividade será apresentada ao professor previamente com o devido planejamento de aula e com a disponibilização dos dos suportes: vídeos fundamentação teórica e os jogos. O material será organizado como ebook e posteriormente disponibilizado gratuitamente online na página do grupo de pesquisa nupas.","Vanessa De Magalhaes Ferreira"
"INTERAÇÃO DE ORGANISMOS MARINHOS COM ATIVIDADES HUMANAS: PERCEPÇÃO GERAÇÃO DE CONHECIMENTO E CONFLITOS","As comunidades litorâneas do litoral fluminense estão em constante contato com os ecossistemas costeiros mas por muitas vezes não tem conhecimento das características importância e problemas de conservação desses ambientes. O presente projeto tem como objetivo geral conhecer as relações homem-ambiente e diagnosticar necessidades de pesquisas voltadas à conservação da natureza especialmente os cetáceos. Palestras sobre as características e a importância dos ecossistemas marinhos e conseqüentemente da flora e da fauna e a necessidade da colaboração da população na busca deste objetivo serão ministradas durante visitas às escolas e entidades comunitárias (associação de moradores colônias de pesca clubes náuticos entre outras) ao longo do litoral fluminense. Espécies da flora e da fauna local como por exemplo os cetáceos e as tartarugas-marinhas serão utilizadas como instrumentos do processo educativo.Para a identificação da interação de cetáceos com atividades humanas serão aplicados questionários específicos.","Alexandre De Freitas Azevedo"
"BOTOS DA BAÍA DE GUANABARA","A degradação ambiental pela qual a baía de guanabara tem passado nos últimos 40 anos e o declínio constante da população de botos-cinza tem feito com que ambos a baía de guanabara e os botos-cinza recebam pouca atenção da sociedade. Esse projeto tem como objetivo central difundir e socializar o conhecimento que a universidade detém sobre os botos da baía de guanabara. As atividades desenvolvidas serão realizadas nos municípios do rio de janeiro niterói magé são gonçalo itaboraí e guapi-mirim. Palestras exposições e outras atividades sobre as características e a importância dos botos e da baía de guanabara bem como da necessidade da colaboração da população na busca deste objetivo serão ministradas durante visitas às escolas e entidades comunitárias (associação de moradores colônias de pesca clubes náuticos entre outras) no entorno da baía de guanabara.","Alexandre De Freitas Azevedo"
