"nome","resumo","coordenador"
"UERJ CARBONO ZERO","A emissão de inventário de gases de efeito estufa – igee é um processo fundamental para entender e mitigar os impactos das atividades humanas na atmosfera contribuindo para o combate às mudanças climáticas fenômeno que cada vez mais afeta a humanidade. A elaboração do igee resulta em um levantamento sistemático das emissões de gases internacionalmente reconhecidos como gases que contribuem para o efeito estufa regulados pelo protocolo de kyoto como dióxido de carbono (co2) metano (ch4) óxido nitroso (n2o) entre outros. O principal objetivo é quantificar as emissões de gee da uerj e propor medidas para compensação visando ao carbono zero. Começando primeiramente com o campus maracanã. Destaca-se a participação de alunos da graduação e pós-graduação em todas as etapas do projeto.","Fernando Altino Medeiros Rodrigues"
"DIVULGA CEADS-ILHA GRANDE - DIVULGAÇÃO CIENTÍFICA PROMOÇÃO DA SAÚDE E GESTÃO AMBIENTAL PARTICIPATIVA - CEADS - ILHA GRANDE","O projeto de extensão ""divulga ceads-ilha grande” visa: 1) divulgar conhecimentos científicos relativos ao bioma mata atlântica abrangendo os ecossistemas continentais (terrestres e límnicos) e marinhos; 2) estimular a gestão participativa do ambiente contribuindo para a promoção da saúde e para a minimização dos problemas que vêm sendo enfrentados no rio de janeiro; 3) promover a gestão ambiental local de forma mais participativa; 4) possibilitar uma maior integração academia-sociedade-tomadores de decisão. As ações para o desenvolvimento dos objetivos envolvem atividades virtuais (facebook instagram youtube plataformas de reuniões) como presenciais através de rodas de conversa palestras exposições e oficinas realizadas em eventos diversos entre eles a semana uerj de meio ambiente a semana nacional de ciência e tecnologia e a uerj sem muros. Todas as atividades e ações propostas estão em consonância com os ods (objetivos do desenvolvimento sustentável) da agenda 2030 especialmente os ods 4 (educação de qualidade) ods 13 (ação climática) ods 14 (proteger a vida marinha) e ods 15 (proteger a vida terrestre).","Sonia Barbosa Dos Santos"
"ASSESSORIA TÉCNICA AO MINISTÉRIO PÚBLICO VISANDO A RECUPERAÇÃO AMBIENTAL DOS ECOSSISTEMAS NATURAIS DO ESTADO DO","Assessoria técnica da uerj ao ministério público federal (mpf) e ministério público do estado do rio de janeiro (mprj) visando a recuperação ambiental dos ecossistemas naturais do estado do rio de janeiro com as seguintes atividades: • avaliação de relatórios técnicos existentes elaborados pelos órgãos responsáveis pelo saneamento e pelo controle ambiental dentro do estado do rio de janeiro; • elaboração de laudos técnicos por solicitação do ministério público; • participação em reuniões públicas e audiências públicas assessorando tecnicamente o ministério público; • realização de palestras técnicas sobre as ações com sustentabilidade ambiental para e recuperação dos ecossistemas naturais do estado do rio de janeiro em função das demandas do ministério público; • participação em eventos técnicos na região para dar conhecimento e debater junto à população local sobre os riscos da contaminação ambiental e discussão sobre as ações e intervenções para a recuperação com sustentabilidade ambiental dos rios lagoas e praias da região do estado do rio de janeiro onde o ministério público atua.","Adacto Benedicto Ottoni"
"ASSESSORIA TÉCNICA DA UERJ À SOCIEDADE E ENTIDADES COM RELAÇÃO A ATUAÇÕES NA ÁREA DE MEIO AMBIENTE DO ESTADO DO RIO DE JANEIRO","Assessoria técnica da uerj à sociedade e entidades com relação a atuações na área de meio ambiente do estado do rio de janeiro incluindo as seguintes atividades: - procedimentos para a realização de possíveis convênios ou instrumento jurídico de parceria entre a uerj e entidades da sociedade civil. - avaliação de relatórios técnicos existentes; - elaboração de laudos técnicos. - participação em reuniões e audiências públicas; - realização de palestras técnicas sobre as ações com sustentabilidade ambiental para a recuperação de ecossistemas naturais no estado do rio de janeiro em prol da saúde e bem-estar da população; - participação em eventos técnicos no estado para dar conhecimento e debater junto à população as soluções com sustentabilidade ambiental para a recuperação de ecossistemas naturais no estado do rio de janeiro; - entrevistas na mídia sobre temas relacionados à área de meio ambiente e saneamento com vistas à preservação ambiental e melhoria da saúde da população.","Adacto Benedicto Ottoni"
"PARQUE BOTÂNICO DO ECOMUSEU ILHA GRANDE","A preservação da sociobiodiversidade é de extrema relevância e tem exigido crescentes esforços da comunidade acadêmica e do poder público. A perda de biodiversidade implica em prejuízos ecológicos econômicos e socioculturais. Contudo as ações que visam à preservação da biodiversidade somente podem ser estabelecidas quando se tem conhecimento da riqueza de espécies de seu status de conservação e do papel que as espécies desempenham no meio natural dos bens e serviços que prestam à sociedade e dos fatores que ameaçam a sua integridade. Dentre as diferentes ações estabelecidas para salvaguardar esse patrimônio biológico global figuram as coleções de plantas vivas que além de representarem centros de importância direta à conservação da diversidade vegetal são consideradas importantes fontes de socialização e multiplicação do conhecimento. A ilha grande apresenta importantes remanescentes florestais rica vida marinha e terrestre associados à grande relevância histórica e cultural que precisam ser igualmente preservados. Assim inserido em um contexto de preservação do meio ambiente e da memória o parque botânico da ilha grande (pab) é o jardim botânico da uerj e possui relevância nacional e internacional. Consiste em um polo de visitação no sul do estado do rio de janeiro que se destaca como espaço de ciência e cultura pioneiro formado por uma coleção de plantas nativas da mata atlântica bem documentada e exposta em cenário atrativo que associa o registro multifacetado da história da ilha grande. O pab tem a missão de contribuir à pesquisa científica à difusão do conhecimento à educação ambiental e ao lazer. Sua proposta combina os recursos da flora e a popularização do conhecimento para um público diversificado incluindo cientistas professores alunos comunidades e turistas. Esse conjunto de ações tem sido considerado como importante estratégia para o desenvolvimento de atividades sustentáveis e de uma consciência ambiental e conservacionista.","Catia Henriques Callado"
"ECOMUSEU RECICLA: ALTERNATIVAS PARA O DESENVOLVIMENTO SUSTENTÁVEL DA VILA DOIS RIOS A PARTIR DO ARTESANATO CONSCIENTE","O projeto ecomuseu recicla foi criado em 2010 pelo professor ricardo gomes lima como uma nova ferramenta do ecomuseu ilha grande para a promoção de ações conjuntas com as associações comunitárias da ilha para a inclusão social da população local. Durante as diversas oficinas os moradores participarão de atividades capazes de proporcionar aprendizagem e valorização de aspectos relacionados à importância da coleta seletiva não somente como forma de preservação ambiental mas também como fonte alternativa de renda. Estarão ainda tornando-se capacitados a atuar como artesãos especializados em artesanato consciente e cidadãos participativos no desenvolvimento sustentável da região.","Gelsom Rozentino De Almeida"
"BIOLOGIA MARINHA: UMA FORMA DE CONTAR AS HISTÓRIAS DO MAR","O desconhecimento e a curiosidade acerca do ambiente marinho sempre estiveram presentes no cotidiano da humanidade. Hoje em dia apesar do enorme conhecimento científico da grande tecnologia da diversidade de meios de divulgação e da facilidade relativa de acesso o ambiente marinho continua a ser pouco conhecido. Este projeto pretende a partir de diferentes tipos de motivação divulgar as ciências do mar e sobretudo suas riquezas ajudando a divulgar a noção de amazônia azul conceito atual de megabiodiversidade empregada para o ambiente marinho na costa brasileira. Pretende também estabelecer contato com a cirm e a secirm e outras agências e organizações não governamentais ou empresas para ampliar a divulgação deste ambiente.","Luis Felipe Skinner"
"MUSEU DO MEIO AMBIENTE ILHA GRANDE - UM MUSEU AO AR LIVRE","Um museu é na definição do international council of museums (icom 2001) ""uma instituição permanente sem fins lucrativos a serviço da sociedade e do seu desenvolvimento aberta ao público e que adquire conserva investiga difunde e expõe os testemunhos materiais do homem e de seu entorno para educação e deleite da sociedade"". Os museus refletem o comportamento humano de reunir objetos que lhe são caros do ponto de vista sentimental e que por meio de sua guarda e exibição remetem à sensações passadas ou que contam histórias. Muitos museus quebraram este conceito e tornaram-se ""museus do futuro"" ou seja seu acervo é constituído por objetos que remetem à inovação científica e tecnológica. Além destes museus os jardins botânicos zoológicos e parques passaram também a serem vistos pela população e pelos pesquisadores como museus detentores de patrimônios vivos. Porém estes ""museus"" partem do mesmo princípio de ""colecionar"" peças biológicas de valor histórico ou sentimental. Nossa proposta no museu do meio ambiente ligado ao ecomuseu ilha grande é de promovermos um museu em que a interação entre o homem e a natureza promova estas sensações levando-nos à pensar nosso envolvimento afetivo cultural social como um modo de vida em equilíbrio com o ambiente. Temos uma agenda ambiental e social audaciosa para os próximos 12 anos que inclui 17 objetivos conhecidos como objetivos para o desenvolvimento sustentável ou apenas ods. Dentre estes objetivos meio ambiente e homem são indissociáveis para garantir não apenas a qualidade de vida humana mas a fim de garantir ambiente saudável e adequado à todas as formas de vida e às futuras geração. Este é o papel que o museu do meio ambiente da ilha grande (muma) procura estimular um espaço de reflexão e contemplação em que o ambiente é o próprio museu aberto e amplo.","Luis Felipe Skinner"
"TRILHAS DO PARQUE NATURAL MUNICIPAL PALEONTOLÓGICO DE SÃO JOSÉ DE ITABORAÍ MANTÊ-LAS VIVAS PARA ACESSAR A HISTÓRIA","Situado numa área de 1 341 m² e explorada durante os anos de 1928 a 1984 para extração do calcário pela companhia nacional de cimento portland mauá (cncpm) o terreno onde se assenta a bacia de itaboraí foi doado ao município e transformado em parque paleontológico em 1995 devido à sua importância para a ciência da paleontologia; e mais recentemente (2018) integrado no sistema nacional de unidades de conservação da natureza (snuc) sendo elevado à parque natural municipal paleontológico de são josé de itaboraí (pnmpsji). As rochas formadas nessa área remontam ao período paleógeno (60-48ma) e preservaram restos de uma rica paleobiota cenozóica sulamericana tanto de vegetais e invertebrados (gastrópodes) quanto de vertebrados (e.G. Mamíferos marsupiais astropotérios liptoternos xenungulados notoungulados xenartros aves lagartos crocodiliformes); além de restos da megafauna e remanescentes líticos relacionados à culturas humanas pré-históricas em uma deposição aluvial pleistocênica acima dos níveis mais antigos. No entanto apesar da importância científica dos fósseis procedentes dos depósitos paleogênicos da bacia de itaboraí nos dias atuais o acesso aos afloramentos de interesse tanto para visitação como para prospecções científicas depende de pulsos periódicos e irregulares de financiamento solicitados geralmente por instituições acadêmicas como uerj e ufrj. Nos momentos de escassez de financimanto e/ou manutenção as trilhas do pnmpsji que conduzem a pontos de interesse geológico e paleontológico se degradam ficando tomadas pela vegetação dificultando ou mesmo impedindo o acesso aos visitantes nesses locais. Nesse sentido o presente projeto vem como um auxílio ao pnmpsji o qual propõe a manutenção e a sinalização periódica das trilhas do parque.","André Eduardo Piacentini Pinheiro"
"CARCINOLOGIA SIMPLES","O conceito de biodiversidade é um tanto ambíguo quando se trata do conhecimento geral. A maioria das pessoas remete ao nome “crustáceos” apenas organismos de interesse gastronômico e valor comercial como caranguejos siris lagostas lagostins camarões pitús etc. Todos esses animais pertencem a apenas uma mesma ordem decapoda que corresponde a aproximadamente 25% da diversidade dos crustacea no mundo. Os outros 75% por exclusão são desconhecidos do público em geral. Este projeto tem como objetivo principal divulgar e ensinar para a comunidade externa à uerj o conhecimento científico sobre o filo crustacea sua diversidade e ecossistemas. é coordenado e desenvolvido no laboratório de carcinologia da uerj no qual desenvolvemos pesquisa científica sobre biodiversidade de crustacea ao longo de toda a costa brasileira. Esses resultados além de ampla pesquisa bibliográfica serão utilizados nas palestras oficinas e cursos a ser ministrados pela equipe do laboratório.","André Resende De Senna"
